"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0201",263.385240083835,0.84828533789967,0.63022452063714,1.34600497143792,0.178300913294313,0.619385488027837
"b0202",164.529017134688,0.0410069745842501,0.397106783797509,0.103264351699316,0.917753167547947,0.970420626921223
"b0203",850.35682187781,-0.135475143730773,0.54168334147574,-0.2501002585047,0.802509816071537,0.96488016732503
"b0204",821.825524473887,-1.49731376806158,0.948989385751744,-1.57779822466136,0.114611971830612,0.528847890146417
"b0205",3.54379959498631,1.59297249685402,1.09048590273745,1.46079146264539,0.144072679466785,0.59125501187941
"b0206",5321.02207688347,0.555753392741896,0.43951243022735,1.2644770762329,0.206058843566708,0.619385488027837
"b0216",5632.91605359604,0.170899883502605,0.423061253785711,0.403960140460343,0.686242030398823,0.959440395180828
"b0244",59.8850823817985,0.406443373450794,0.336393249364639,1.20823879259903,0.226955424195951,0.623603169392377
"b0455",3174.98622688531,-0.292146916150211,0.450595348457661,-0.648357594347563,0.516753690885044,0.861256151475073
"b0536",100.42510085562,0.139344982804942,0.551670222491279,0.252587464619128,0.800587017766315,0.96488016732503
"b0664",1143.5532809991,0.634796396370591,0.444935883910088,1.42671431845868,0.15366225675265,0.597575442926972
"b0665",1884.83631591908,1.01856698821623,0.307890982195076,3.30820662870496,0.000938955038065666,0.0246475697492237
"b0666",1045.90677527068,0.509779437006606,0.368070476714918,1.38500496306159,0.166050949787119,0.611766657110438
"b0668",1419.74016890602,0.697045771060385,0.331029596881608,2.10569017884429,0.0352312734957744,0.255123014969401
"b0670",749.053413624189,0.139710722637424,0.306052930551953,0.456492027001546,0.64803620289518,0.938535190399916
"b0672",1935.35291083475,0.477773729314411,0.258915357394119,1.84528926411711,0.0649954713644408,0.401442617250958
"b0673",5027.54679837657,-0.0166429390106866,0.365290762170248,-0.0455607990517153,0.963660314531054,0.985397054315266
"b0743",1918.29388873345,0.145799525701368,0.412077225950399,0.353816024084081,0.72347676383161,0.96488016732503
"b0744",3244.67175846808,0.161099268013983,0.48059414753532,0.335208551415295,0.73746777174454,0.96488016732503
"b0745",398.424257649935,0.251822675888356,0.352227220797949,0.714943823245311,0.474643756454205,0.844145043959787
"b0746",1840.79838702128,-0.118618996174409,0.504018091170527,-0.235346703327512,0.813939648886597,0.96488016732503
"b0747",91.1262003017396,0.0451902383118324,0.449114032214584,0.100620855885974,0.919851440127196,0.970420626921223
"b0748",1659.1599439297,0.0954547227808169,0.488680552811874,0.195331535563609,0.845133410721256,0.96488016732503
"b0749",1299.9578041973,0.00906314018869725,0.473130681758848,0.0191556805299655,0.984716912922092,0.989428477098753
"b0883",1569.49124376915,-0.098950574796375,0.536457796740997,-0.184451741399797,0.853659082306788,0.96488016732503
"b0971",903.102851933939,0.0200784452341947,0.479905625302203,0.0418383202354651,0.966627586614022,0.985397054315266
"b1032",6531.37876390919,-0.977384549865038,0.578454789113855,-1.68964726070003,0.0910954585828752,0.490514007753943
"b1230",391.221624501339,0.300753190132756,0.288695885487465,1.04176472631375,0.29752077172346,0.702250211851377
"b1231",1007.33071148161,0.487397448142009,0.28487978105219,1.71088817304559,0.0871017583077504,0.481351822227041
"b1574",3.83421333630505,0.442564050861889,0.895498453245846,0.494209732309152,0.62115806717551,0.92271291169457
"b1665",87.2779370481798,-0.27554731013461,0.462509073812992,-0.595766279487141,0.551331373473209,0.888936260784763
"b1666",160.695605698198,0.23984519513763,0.469570631385225,0.510775544948564,0.60950823509332,0.92271291169457
"b1909",197.071375198595,0.0610027330446074,0.393225994003832,0.155134029730529,0.876715655085535,0.96488016732503
"b1910",736.246733028779,-0.0976345338764271,0.493679138614488,-0.197769211294686,0.843225636180598,0.96488016732503
"b1911",988.780596172489,0.16673427068843,0.289998190096246,0.574949349280743,0.565325553076901,0.892619294331948
"b1954",2.5670799044629,-3.57845113682949,1.48240741341906,-2.41394579144478,0.0157808100109161,0.175300142614764
"b1975",3324.20558346141,-0.160204148666509,0.505661932703157,-0.316820662789648,0.751379684636551,0.96488016732503
"b1977",121.160738659122,0.121894439545297,0.314706323425289,0.387327582803509,0.69851370797917,0.960830802373751
"b1984",143.595430364314,0.0552809269219745,0.339096988038002,0.163023939675274,0.870499585680952,0.96488016732503
"b1986",58.9129617704385,-0.229384863806338,0.352232625351522,-0.651231167406528,0.514897273852132,0.861256151475073
"b1989",32.5641283824007,-0.170944470288282,0.410075913511552,-0.416860548634652,0.676780411418586,0.959440395180828
"b2189",444.276449609188,-0.120213672634026,0.288307069599841,-0.41696401271352,0.676704730564477,0.959440395180828
"b2348",43.0366267943598,-0.383946667603789,0.666052497956676,-0.576451058710335,0.564310341235907,0.892619294331948
"b2396",560.949789182545,0.0944150357800831,0.326488388894787,0.289183441100899,0.772441002856178,0.96488016732503
"b2397",599.62104768638,0.115137878539177,0.31567093313402,0.364740197635791,0.715305349333965,0.962911047180337
"b2401",2429.84259092134,0.128513478282936,0.270387592291333,0.475293548767829,0.634577756656984,0.925425895124769
"b2402",5919.03698875235,-0.0609083060160875,0.226205592263246,-0.269260832177861,0.787728970824427,0.96488016732503
"b2403",1356.19229528004,0.335246097561378,0.435001385834684,0.770678228801744,0.440897679539842,0.844145043959787
"b2404",20.8372278377863,-0.42788281884596,0.474732240331962,-0.901314009233411,0.367421387266506,0.769706337930405
"b2588",1.82908656372622,-1.3215007027621,1.61588504811268,-0.817818510237215,0.413460826939843,0.83487282362853
"b2589",395.758643329999,-1.17056979665715,0.485288699237564,-2.41211014906431,0.0158604890937167,0.175300142614764
"b2590",1174.63685919394,0.344748659810256,0.28146512414796,1.22483615280531,0.220636960427643,0.623603169392377
"b2591",1056.73422614303,-3.08302243854277,1.02726982023088,-3.0011807782398,NA,NA
"b2652",0.484137826855701,1.12067620257767,3.00488562390043,0.372951367487658,0.709184639847293,0.960830802373751
"b2691",536.941715280703,-0.0590805841873853,0.429621143568386,-0.137517869108276,0.890621469419369,0.96488016732503
"b2692",197.617344240522,0.0740470298013009,0.362579887949276,0.204222661714926,0.838179503038355,0.96488016732503
"b2693",2707.3478804227,-0.25303504328205,0.372108514211631,-0.680003368958496,0.496502327732852,0.847686901007308
"b2694",3570.58329676078,0.139968993547638,0.282844408661127,0.49486215481577,0.620697426587874,0.92271291169457
"b2695",16977.33028362,-0.0415456792897321,0.532933190679835,-0.0779566369974713,0.937862546633269,0.972425665193939
"b2814",492.238386316206,-0.670486031492313,0.305107414086903,-2.19754093324438,0.0279818364199433,0.226007140314927
"b2815",1494.75423479939,-0.560197071468313,0.342739143874355,-1.63447065058223,0.10216006398648,0.509868354234243
"b2816",1070.03585807353,-0.628348243765057,0.623902922785889,-1.00712502028251,0.313874698984181,0.716453117246501
"b2864",234.889491082872,-0.363520188147413,0.691392068131375,-0.525780096277209,0.599041005205209,0.92271291169457
"b2911",50108.1941708836,-0.749302665542144,0.364871175170928,-2.05360882561119,0.040013567262637,0.280094970838459
"b2967",57.0102697764868,0.261825926588568,0.365203028169014,0.716932518060603,0.473415736121974,0.844145043959787
"b3069",5.74910154721168,-1.06621453374161,0.798864148355199,-1.33466314133243,0.181986622244751,0.619385488027837
"b3123",48451.0263868828,-0.171494909969724,0.245234011726705,-0.699311277266234,0.484357520873983,0.844145043959787
"b3171",11509.8877363416,-0.119252414121838,0.367820250757014,-0.324213835090382,0.745776148436964,0.96488016732503
"b3174",3521.2560715585,0.610386864186535,0.421503239104121,1.44811903577271,0.147583762673548,0.59125501187941
"b3272",16.6681229072623,-0.302590994581342,0.752712934963787,-0.4020005244043,0.687683640339525,0.959440395180828
"b3273",1061.04313973118,-0.123812194549537,0.456997255915585,-0.270925466065396,0.786448358172673,0.96488016732503
"b3274",4.8937949694253,-0.335106714582896,1.25636509469358,-0.266727176676796,0.78967922776423,0.96488016732503
"b3275",1088.90746388481,0.1305228201177,0.529415621278483,0.246541308702795,0.805263231316027,0.96488016732503
"b3276",1511.73008816602,-0.720173775316735,0.587396382707148,-1.22604393986502,0.22018214025669,0.623603169392377
"b3277",3326.10323880644,1.30003034524541,0.840932510242092,1.54593897775596,0.12211930592553,0.542830904349237
"b3278",949.673419957632,0.114165472689378,0.726359422356949,0.157174904290392,0.875107005933093,0.96488016732503
"b3545",183.171528344413,0.311642473706015,0.450326710230153,0.692036396301565,0.488914472589233,0.844145043959787
"b3658",2202.83567114737,-0.317306206430412,0.458174938271456,-0.692543786064565,0.488595898416873,0.844145043959787
"b3756",192.67920826345,0.0572800803215103,0.343378424581299,0.166813277192227,0.867516971380961,0.96488016732503
"b3757",8234.87329467789,-0.0904483180675875,0.534468298119991,-0.169230463969037,0.865615368577524,0.96488016732503
"b3758",209.60107958676,0.0483751848213262,0.369936077015905,0.130766334582843,0.895960155373242,0.96488016732503
"b3759",6.95151259249312,-0.720544081792503,0.850150954319813,-0.847548400823703,0.396689521066378,0.808784460426597
"b3760",25981.8525708053,0.0783129698580616,0.337854813527457,0.231794743548022,0.816697439924382,0.96488016732503
"b3761",422.713444658499,0.307725322114801,0.440873955918682,0.697989341360777,0.485183859806229,0.844145043959787
"b3796",1656.18059343901,0.389910177384057,0.305763369997737,1.27520238080494,0.20223761885009,0.619385488027837
"b3797",1230.02277500064,-0.353625363880653,0.488491590663327,-0.723912899709209,0.469119209973186,0.844145043959787
"b3798",1470.09650583299,-0.593774851285041,0.256522124360096,-2.31471204585661,0.0206286960985001,0.183582589285438
"b3799",829.813755962371,-0.164155185033212,0.411402688801667,-0.399013398554498,0.689883331772881,0.959440395180828
"b3851",95.2781166313237,-0.176134261198647,0.465083400998782,-0.378715432157744,0.704899192332752,0.960830802373751
"b3852",649.717152767787,0.427192696781226,0.583575669099034,0.732026229676019,0.464152558334608,0.844145043959787
"b3853",1142.01888461789,0.367451940746233,0.71607201814251,0.51314941994159,0.607846804024732,0.92271291169457
"b3854",95.9900081716788,0.0681702661136744,0.338227975316071,0.201551234932504,0.840267571610328,0.96488016732503
"b3855",34.2200729540091,-1.85123165162378,0.730091576976422,-2.53561568165245,0.0112249847306821,0.138661576084897
"b3864",272.598714854662,-1.43984280204162,0.487982390521161,-2.95060401770621,0.0031715323343443,0.0605474354738457
"b3968",580.966975504093,-0.308430849660548,1.03131100633388,-0.299066768187574,0.764889101660233,0.96488016732503
"b3969",680.720200676338,0.483685177069354,0.404356204091112,1.19618586824098,0.23162403434574,0.623603169392377
"b3970",290.942527047092,0.416342266455173,0.563498886889425,0.738851976715388,0.459996886076472,0.844145043959787
"b3971",4.84850692928672,-0.0812415972313524,0.853989694492254,-0.0951318239029279,0.924210120877356,0.970420626921223
"b3976",215.040436151099,0.0405917652890193,0.426260933672986,0.095227505226083,0.924134123245366,0.970420626921223
"b3977",8716.17297637892,0.415823012010004,0.313691865262815,1.32557792552772,0.18497954204174,0.619385488027837
"b3978",8330.76255357199,0.189695404836828,0.222823849116272,0.851324513014056,0.394589111632971,0.808784460426597
"b3979",391.95265461092,0.0103651037261425,0.451507645582943,0.022956651626043,0.981684850818556,0.989428477098753
"b4007",266.255040368119,-0.533109045868962,0.594912350078311,-0.896113596900092,0.370192095861766,0.769706337930405
"b4008",5612.17961699281,-0.0931478041173562,0.506653023665142,-0.18384930073746,0.854131678873624,0.96488016732503
"b4009",1314.24268825611,-2.50042750326726,1.24030949005577,-2.01597062935867,NA,NA
"b4010",5.69769190391015,2.20192091896118,0.953902718552028,2.30832859172849,0.0209808673469072,0.183582589285438
"b4134",34.4008415202294,-0.816667426787625,0.429272156422888,-1.90244676848573,0.0571127717397135,0.363444911070904
"b4163",375.464269530556,-0.450769515172973,0.351291473212308,-1.28317807161959,0.199429696636831,0.619385488027837
"b4164",1607.36871826231,-4.9700076128077,1.13151223215679,-4.39235871390828,1.12127495910404e-05,0.000784892471372831
"b4165",189.236450903791,-0.15487041543131,0.252385781518828,-0.61362575379373,0.539462661144827,0.885055928440731
"b4270",874.933934696573,-0.296861454709329,0.324155106924896,-0.915800641012603,0.359771467248386,0.763151597193545
"b4368",1037.93765791313,-0.270171064642117,0.266688986931159,-1.01305669855747,0.311033079608869,0.716453117246501
"b4369",6992.39545271673,-0.297381896531884,0.284846134210998,-1.04400889046856,0.296481276372489,0.702250211851377
"b4370",658.212694585076,-0.380818543281961,0.300309524002933,-1.26808679993193,0.204766954896101,0.619385488027837
"b4408",2249.25492692857,-1.76853334679678,0.394752430692483,-4.48010755423185,7.46054354780078e-06,0.000783357072519082
"b4413",7.76034887466379,1.03786597572725,0.675164232947048,1.53720520886753,0.124243065189748,0.542830904349237
"b4414",3169.19832298734,1.15216010055675,0.536688851752727,2.14679342936602,0.0318097306749942,0.247409016361066
"b4416",47.0175665319322,0.898508526250217,0.547416502219088,1.64136178322701,0.100722338025846,0.509868354234243
"b4417",13.7391317872055,-0.282359038751986,0.575903724689759,-0.490288613611753,0.623929683145852,0.92271291169457
"b4418",134.272420503478,0.359727781129274,0.364891124459497,0.985849632988823,0.324206905853918,0.716667897150765
"b4420",19.9641642872403,0.106669317465775,0.488852174007252,0.218203627062509,0.8272704591851,0.96488016732503
"b4422",1.34076936942815,1.82040483010761,1.83735042936946,0.990777154433375,0.321794407061202,0.716667897150765
"b4424",7.72207343537533,0.387951119973158,0.769712557193612,0.504020775479662,0.614246777752406,0.92271291169457
"b4425",927.882600370804,2.5174518335018,0.216000098222165,11.6548642997028,2.16725408089479e-31,4.55123356987905e-29
"b4426",39.4399500607233,-0.443460394840005,0.376304203629906,-1.17846250603181,0.238612271404165,0.634285784745249
"b4427",12.973099835818,-0.763892120851975,0.674159791141811,-1.13310246456287,0.257171226516734,0.640306074122183
"b4429",42.2784639816918,0.128555835278251,0.480643522469985,0.267466072605356,0.789110333035253,0.96488016732503
"b4430",2.17310622850096,-1.58126865524044,1.2779829564658,-1.23731591821331,0.215969820468582,0.623603169392377
"b4431",2.26789477612928,2.06057766657033,1.27867108164827,1.61149938881401,0.107070920321955,0.511020301536604
"b4432",36.4206728302098,0.6595501410419,0.471178793820975,1.39978740489008,0.161576990596091,0.605913714735342
"b4433",0,NA,NA,NA,NA,NA
"b4434",21.3729628616302,-2.2215877715949,0.805690619715401,-2.75737077884765,0.00582682386212981,0.0874023579319472
"b4435",2.24265637406171,1.07317656525343,1.99606489638818,0.537646129239239,0.590821377080204,0.919055475458096
"b4436",122.840272669246,-0.736231713776946,0.56165647703857,-1.31082208409463,0.189917879594666,0.619385488027837
"b4437",117.648615279585,0.571337768944151,0.32092506551623,1.78028402993426,0.0750294893703078,0.437672021326796
"b4438",44.3703804273305,0.877343324484411,0.397557301484944,2.20683489199515,0.0273255964220609,0.226007140314927
"b4439",3.84689867433013,-0.67243635028464,0.903115082418887,-0.744574377479777,0.456529062289777,0.844145043959787
"b4440",192.723808293088,0.456493289879061,0.343110677608845,1.33045492218542,0.183368429138356,0.619385488027837
"b4441",1747.83469319069,0.299857596106324,0.427658412089404,0.701161458841216,0.483202259204476,0.844145043959787
"b4442",124.698276214469,-1.0582028376966,0.405763420213857,-2.6079305944801,0.00910914219992264,0.127527990798917
"b4443",2796.01161319863,-0.120422441636645,0.476599922201514,-0.252669872626895,0.800523330754935,0.96488016732503
"b4444",10.5965272665401,-1.0978863130735,0.676088704963248,-1.62387909310389,0.104401615390821,0.509868354234243
"b4445",10.3935604861776,-0.898760180712627,0.641620737588879,-1.40076548038338,0.161284214398523,0.605913714735342
"b4446",107.261494473558,-0.0430852224616793,0.583832861694151,-0.0737971862985851,0.941171765930768,0.972425665193939
"b4447",264.142030512982,-0.722078157535677,0.459201570501225,-1.57246447730464,0.115842871174929,0.528847890146417
"b4449",441.343863737328,0.824482841240641,0.324046930935484,2.5443315845037,0.0109487095434135,0.138661576084897
"b4450",91.516179372293,0.286372624421532,0.311735613258842,0.918639424696561,0.358284203561484,0.763151597193545
"b4451",4.18827089691212,-0.858325789922091,0.898567735112315,-0.955215457201795,0.339468750611547,0.742587891962758
"b4452",17.7534998654728,-0.484558649661999,0.489837072104864,-0.989224126258588,0.322553496779674,0.716667897150765
"b4454",24.8668069037622,0.342946836422099,0.425173747450748,0.806603978910589,0.419894680629364,0.839789361258728
"b4456",1358.88768860868,-0.0428814681179817,0.319152926759018,-0.13436025341657,0.893117709770171,0.96488016732503
"b4457",1989.59455890357,-0.428173424890476,0.213659548663718,-2.00399854613746,0.0450702161610195,0.30531436754239
"b4458",3.81014786763782,-0.997464289470244,0.957672912918364,-1.04155006998227,0.29762032787987,0.702250211851377
"b4459",20.7159118116193,-0.46780874928808,0.50221601062175,-0.931489119012608,0.351600610517503,0.761197198027584
"b4577",27.4227733540338,-0.124575781586805,0.424701996049511,-0.293325161514622,0.769273622945226,0.96488016732503
"b4585",7.49073952199365,0.594381273160011,0.785029455851378,0.757145185737514,0.448962885514022,0.844145043959787
"b4597",24.7898048175381,0.314552135421848,0.449787421972068,0.69933510822226,0.484342631205347,0.844145043959787
"b4603",0.677571064816299,0.412141298573822,2.80647196732861,0.146853880377835,0.883247355269995,0.96488016732503
"b4608",6.55743338860942,-0.479532500581817,0.725405856716718,-0.661054079094762,0.508577633051786,0.861256151475073
"b4609",315.024955721023,-0.509533282142001,0.422372330923675,-1.20636046643424,0.227678532376489,0.623603169392377
"b4611",480.295041489757,-0.256738665362512,0.372268499404556,-0.689659924955149,0.490408073157591,0.844145043959787
"b4616",2.73964173605855,1.44726432347428,1.09133543166743,1.32614069100921,0.18479310004253,0.619385488027837
"b4624",59.5638703016611,0.336477830650198,0.462197104211113,0.727996405828863,0.466615786455336,0.844145043959787
"b4625",15.9321489126713,1.2415406083277,0.649512752701619,1.91149535272951,0.0559409534487808,0.363444911070904
"b4690",23.5549290296142,-0.699585807560906,0.60961921999035,-1.14757833188393,0.251142679044029,0.635421236135494
"b4691",1684.62715363613,-0.279901549870736,0.386312242079889,-0.724547449917087,0.468729707435637,0.844145043959787
"b4698",28.9518269857738,0.276531241231491,0.467911623831016,0.590990321991571,0.554526905537162,0.888936260784763
"b4699",11.2487884526367,-1.78275856399391,0.976811677109538,-1.82507908716778,0.0679890955407924,0.407934573244754
"b4701",0.503192859554231,1.18697852295912,2.4923079833239,0.476256759157065,0.633891467205587,0.925425895124769
"b4704",0.143414417254104,-0.645424761513483,4.0804728567969,-0.158174011729643,0.874319681574508,0.96488016732503
"b4707",319.177363521116,0.397702098595201,0.269698536998534,1.47461718933004,0.140315490906201,0.589325061806044
"b4712",19.0858961935943,0.602605640848403,0.476988580008794,1.26335444097486,0.206461829342612,0.619385488027837
"b4713",13.8479130087276,0.707940224164028,0.607603152828222,1.1651358635464,0.243964001919899,0.635421236135494
"b4714",0.190030453233877,1.27812859012901,4.0804728567969,0.313230509057304,0.754105540964867,0.96488016732503
"b4716",15.1589303217141,-0.443726305609213,0.69253453656411,-0.640728053521611,0.521699384232184,0.862652525108335
"b4717",113.987156410347,0.433426962304827,0.35862952102056,1.20856465209951,0.226830143398639,0.623603169392377
"b4718",2.273789506119,-2.38019118892913,1.45013860513877,-1.64135426813311,0.100723897103005,0.509868354234243
"b4719",24.2587381439844,1.40289076255201,0.498252639464556,2.81562133631569,0.00486830094824785,0.0851952665943373
"b4758",25.0917462000914,-0.0859617084849769,0.581241546101279,-0.147893262382174,0.882427005574341,0.96488016732503
"b4759",18.3322464472741,1.15987753093665,0.759378274909394,1.52740415318708,0.126660544348155,0.542830904349237
"b4760",10.5208031604914,0.82744517970185,0.717083004834767,1.15390432365987,0.248539396381799,0.635421236135494
"b4761",178.24568101806,0.00952774100292396,0.452221305604405,0.0210687574531454,0.983190807301243,0.989428477098753
"b4762",41.8943057578767,-0.255833759209414,0.431750996924326,-0.592549319010039,0.553482805298463,0.888936260784763
"b4763",340.342865825004,-0.347593245165685,0.288775232367912,-1.2036809469963,0.228712919184412,0.623603169392377
"b4764",93.5909590209787,-1.25936909370887,0.345421660501706,-3.64588917753364,0.000266468802636166,0.00916033183865986
"b4804",2909.88394473513,0.409088498909851,0.40131461028156,1.0193710580904,0.308026840869548,0.716453117246501
"b4805",740.149431510082,-2.75655251543328,0.763435012367744,-3.61072320600547,0.000305344394621995,0.00916033183865986
"b4806",8.13897657095069,1.17685361674116,0.815963701735236,1.44228672701795,0.149221502998137,0.59125501187941
"b4807",36.5780111663297,0.947839176319123,0.850349596693913,1.11464647011563,0.265001948335086,0.647097780818234
"b4808",7.41709282621016,5.50795766770883,1.34772329004332,4.08686093681127,4.37249023107756e-05,0.00229555737131572
"b4809",31.2831318743698,0.182658207643653,0.481664732254135,0.379222715329049,0.704522484755353,0.960830802373751
"b4810",917.852306849881,-0.891620299506318,0.296392032229308,-3.00824651998911,0.00262759897791536,0.0551795785362225
"b4811",25.0767357769531,0.709772860455039,0.413240368487031,1.71757871345842,0.0858734857419853,0.481351822227041
"b4813",157.70514436286,-4.62713631055389,1.25206514363379,-3.69560348683204,NA,NA
"b4814",28.034071930456,-0.0836818189855576,0.516527145182975,-0.162008559987518,0.871299113028847,0.96488016732503
"b4825",485.253154359426,0.682591654191866,0.604945941463951,1.12835148962239,0.259171506192312,0.640306074122183
"b4826",1.17597600304792,-0.124789471733433,1.79717069050593,-0.0694366274682029,0.944642074759827,0.972425665193939
"b4827",17.554182208973,-0.0525149855490933,0.549717603829132,-0.0955308419874007,0.923893193913431,0.970420626921223
"b4828",9.15544375522911,1.38196033399603,0.655286981952213,2.10893909395076,0.0349498391815176,0.255123014969401
"b4829",47.6842037979692,0.00630014384507338,0.899376434004054,0.00700501325904764,0.994410853782521,0.994410853782521
"b4830",36.6556410168535,-1.63277584476155,0.42245542147055,-3.86496601008912,0.000111104670843357,0.004666396175421
"b4831",133.96988826188,-1.18434062852582,0.429274886847035,-2.7589329467294,0.00579904325273775,0.0874023579319472
"b4832",16.3421667384511,-1.2563159904624,0.538323409657051,-2.33375693481871,0.0196084529708204,0.183582589285438
"b4833",0,NA,NA,NA,NA,NA
"b4834",18.3902109637123,-0.0457096786341501,0.524252104545104,-0.0871902625432712,0.930520279245278,0.972185366375664
"b4835",3.30094429300135,0.27739578937965,1.02253839969915,0.271281537653026,0.78617450505724,0.96488016732503
"b4836",551.600189027297,-1.51380619527297,0.498541750852702,-3.03646824500408,0.00239367320496226,0.0551795785362225
"b4838",628.025284712173,-0.778151680929216,0.330178432951089,-2.35676108210402,0.018435103471036,0.183582589285438
"b4839",10.1008049233005,1.48352033692865,0.639943084091385,2.31820668713845,0.0204380907823363,0.183582589285438
"b4840",1708.63454170401,-0.0562824786336315,0.298432767601088,-0.18859349489686,0.850411431643505,0.96488016732503
"b4841",738.11225426655,-0.324465986153315,0.282206673526404,-1.14974597198162,0.250248513721657,0.635421236135494
"b4842",222.949145787272,-0.134446815855512,0.242485078343889,-0.554453976194119,0.579268194880771,0.907808365111656
"b4843",139.750818168467,-0.128947599655632,0.310255980380037,-0.415616806153686,0.677690426815259,0.959440395180828
"b4844",93.4226775065898,-0.482837171393395,0.375786343552815,-1.28487152254785,0.198837183775047,0.619385488027837
"b4846",68.8747633204193,0.441950354016317,0.340005733349117,1.29983206360383,0.193658533501896,0.619385488027837
